,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
24,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,lower,Cooperation is significantly higher when leadership assignment rule is authority compared to when leadership assignment rule is fixed .
55,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leader's behavior,Cooperative,Noncooperative,higher,Cooperation is significantly higher when leader's behavior is cooperative compared to when leader's behavior is noncooperative.
93,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/proself,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Proself,higher,Cooperation is significantly lower when svo type is prosocial compared to when svo type is proself.
151,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/gainLossFrame,https://data.cooperationdatabank.org/id/gainlossframe/gain,https://data.cooperationdatabank.org/id/gainlossframe/loss,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,Gain-Loss frame,Gain,Loss,higher,Cooperation is significantly higher when gain-loss frame is gain compared to when gain-loss frame is loss.
182,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,higher,Cooperation is significantly higher when punishment treatment is 1 compared to when punishment treatment is -1.
255,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,higher,Cooperation is significantly higher when motivational orientation is cooperative compared to when motivational orientation is competitive.
267,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/focalPointFrame,true,false,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,Focal point frame,na,na,lower,Cooperation is significantly lower when focal point frame is true compared to when focal point frame is false.
273,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/contextFrame,https://data.cooperationdatabank.org/id/contextframe/cooperative,https://data.cooperationdatabank.org/id/contextframe/competitive,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,Context frame,Cooperative,Competitive,higher,Cooperation is significantly higher when context frame is cooperative compared to when context frame is competitive.
310,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,higher,Cooperation is significantly higher when symmetric endowment is false compared to when symmetric endowment is true.
331,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,lower,Cooperation is significantly lower when threshold level is medium compared to when threshold level is high.
340,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
