,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
913,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
1489,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,lower,Cooperation is significantly lower when communication treatment is true compared to when communication treatment is false.
1493,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/restricted,False,True,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Restricted communication,na,na,higher,Cooperation is significantly higher when restricted communication is false compared to when restricted communication is true.
1542,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
1704,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
2076,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationContent,https://data.cooperationdatabank.org/id/communicationcontent/threat,https://data.cooperationdatabank.org/id/communicationcontent/promise,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication content,Threat,Promise,higher,Contribution is significantly higher when communication content is threat compared to when communication content is promise.
2707,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Cooperation is significantly higher when communication treatment is true compared to when communication treatment is false.
2852,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Cooperation is significantly higher when communication treatment is true compared to when communication treatment is false.
3417,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
3540,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationContent,https://data.cooperationdatabank.org/id/communicationcontent/other,https://data.cooperationdatabank.org/id/communicationcontent/threat,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication content,Other,Threat,lower,Cooperation is significantly lower when communication content is other compared to when communication content is threat.
3584,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationType,https://data.cooperationdatabank.org/id/communicationtype/written,https://data.cooperationdatabank.org/id/communicationtype/verbal,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication type,Written,Verbal,lower,Contribution is significantly lower when communication type is written compared to when communication type is verbal.
4325,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,lower,Contribution is significantly lower when communication treatment is true compared to when communication treatment is false.
4888,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Cooperation is significantly higher when communication treatment is true compared to when communication treatment is false.
5291,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Cooperation is significantly higher when communication treatment is true compared to when communication treatment is false.
5316,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
5529,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Cooperation is significantly higher when communication treatment is true compared to when communication treatment is false.
5602,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,true,false,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,higher,Contribution is significantly higher when communication treatment is true compared to when communication treatment is false.
