,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
590,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,https://data.cooperationdatabank.org/id/conflictindex/k_index,https://data.cooperationdatabank.org/id/conflictindex/g_index,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict index,K index,g index,lower,Cooperation is significantly lower when conflict index is k index compared to when conflict index is g index.
632,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,https://data.cooperationdatabank.org/id/conflictindex/k_index,https://data.cooperationdatabank.org/id/conflictindex/g_index,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict index,K index,g index,higher,Cooperation is significantly higher when conflict index is k index compared to when conflict index is g index.
792,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Low,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is low.
1333,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Low,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is low.
2461,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Low,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is low.
3940,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Medium,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is medium.
3950,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Medium,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is medium.
3956,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,Medium,Low,lower,Cooperation is significantly lower when conflict level is medium compared to when conflict level is low.
3975,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Medium,higher,Cooperation is significantly higher when conflict level is high compared to when conflict level is medium.
3992,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Medium,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is medium.
4098,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Low,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is low.
4099,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,https://data.cooperationdatabank.org/id/conflictindexlevel/high,https://data.cooperationdatabank.org/id/conflictindexlevel/low,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,Conflict level,High,Low,lower,Cooperation is significantly lower when conflict level is high compared to when conflict level is low.
