,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
669,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,higher,Contribution is significantly higher when feedback target is individual compared to when feedback target is group.
685,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,higher,Contribution is significantly higher when feedback target is individual compared to when feedback target is group.
1004,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/absent,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Absent,higher,Cooperation is significantly higher when feedback target is individual compared to when feedback target is absent.
2701,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/id/feedbacktarget/other,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Group,Other,lower,Contribution is significantly lower when feedback target is group compared to when feedback target is other.
2703,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/id/feedbacktarget/other,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Group,Other,lower,Contribution is significantly lower when feedback target is group compared to when feedback target is other.
3080,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,https://data.cooperationdatabank.org/id/feedbackcontent/choice,https://data.cooperationdatabank.org/id/feedbackcontent/others,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback content,Choice,Others,lower,Contribution is significantly lower when feedback content is choice compared to when feedback content is others.
3092,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,https://data.cooperationdatabank.org/id/feedbackcontent/choice,https://data.cooperationdatabank.org/id/feedbackcontent/rank,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback content,Choice,Rank,lower,Contribution is significantly lower when feedback content is choice compared to when feedback content is rank.
3106,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,https://data.cooperationdatabank.org/id/feedbackcontent/choice,https://data.cooperationdatabank.org/id/feedbackcontent/others,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback content,Choice,Others,higher,Contribution is significantly higher when feedback content is choice compared to when feedback content is others.
4619,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/network,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Network,Individual,higher,Cooperation is significantly higher when feedback target is network compared to when feedback target is individual.
5335,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/absent,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Absent,lower,Cooperation is significantly lower when feedback target is individual compared to when feedback target is absent.
5343,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/other,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Other,lower,Cooperation is significantly lower when feedback target is individual compared to when feedback target is other.
5433,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/noise,True,False,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Noise,na,na,lower,Cooperation is significantly lower when noise is true compared to when noise is false.
