,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
340,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
491,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Contribution is significantly higher when gender is female compared to when gender is male.
506,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
517,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
699,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
909,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
2688,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
3114,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
3534,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
3639,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
4805,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/partnersGenderKnownInGame,false,true,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Partner's gender is known,na,na,lower,Contribution is significantly lower when partner's gender is known is false compared to when partner's gender is known is true.
4836,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/heterogeneousGender,false,true,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Heterogeneous gender,na,na,lower,Contribution is significantly lower when heterogeneous gender is false compared to when heterogeneous gender is true.
4854,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/partnersGenderKnownInGame,false,true,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Partner's gender is known,na,na,higher,Contribution is significantly higher when partner's gender is known is false compared to when partner's gender is known is true.
4856,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/heterogeneousGender,false,true,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Heterogeneous gender,na,na,higher,Contribution is significantly higher when heterogeneous gender is false compared to when heterogeneous gender is true.
4994,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
5107,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
5344,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,higher,Cooperation is significantly higher when gender is female compared to when gender is male.
5456,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Contribution is significantly lower when gender is female compared to when gender is male.
5544,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Contribution is significantly lower when gender is female compared to when gender is male.
5913,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
5920,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/gender,https://data.cooperationdatabank.org/id/gender/female,https://data.cooperationdatabank.org/id/gender/male,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,Gender,Female,Male,lower,Cooperation is significantly lower when gender is female compared to when gender is male.
