,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
1577,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,https://data.cooperationdatabank.org/id/identificationlevel/high,https://data.cooperationdatabank.org/id/identificationlevel/low,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Identification level,High,Low,higher,Cooperation is significantly higher when identification level is high compared to when identification level is low.
1804,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup_and_outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup and Outgroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup and outgroup.
1901,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Ingroup,Outgroup,higher,Cooperation is significantly higher when partner's group membership is ingroup compared to when partner's group membership is outgroup.
2252,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Outgroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
2501,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Ingroup,Outgroup,higher,Cooperation is significantly higher when partner's group membership is ingroup compared to when partner's group membership is outgroup.
2561,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Outgroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
3015,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
3435,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
3797,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Outgroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
4656,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,lower,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
