,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
24,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,lower,Withdrawal is significantly lower when leadership assignment rule is authority compared to when leadership assignment rule is fixed .
55,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leader's behavior,Cooperative,Noncooperative,higher,Contribution is significantly higher when leader's behavior is cooperative compared to when leader's behavior is noncooperative.
1813,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadershipRole,https://data.cooperationdatabank.org/id/leadershiprole/leader,https://data.cooperationdatabank.org/id/leadershiprole/follower,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership role,Leader ,Follower,higher,Contribution is significantly higher when leadership role is leader  compared to when leadership role is follower.
2607,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/weak,https://data.cooperationdatabank.org/id/leadercharacteristic/strong,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leader's characteristic,Weak,Strong,lower,Contribution is significantly lower when leader's characteristic is weak compared to when leader's characteristic is strong.
3497,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadershipEndogenous,https://data.cooperationdatabank.org/id/leadershipendogenous/exogenous,https://data.cooperationdatabank.org/id/leadershipendogenous/endogenous,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Endogenous leadership,Exogenous,Endogenous,lower,Contribution is significantly lower when endogenous leadership is exogenous compared to when endogenous leadership is endogenous.
3502,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadership,True,False,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership,na,na,higher,Contribution is significantly higher when leadership is true compared to when leadership is false.
4626,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadership,True,False,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership,na,na,higher,Contribution is significantly higher when leadership is true compared to when leadership is false.
4627,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadership,True,False,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership,na,na,lower,Contribution is significantly lower when leadership is true compared to when leadership is false.
4628,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/volunteer,https://data.cooperationdatabank.org/id/leadershipassignmentrule/other,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Volunteer,Other,higher,Contribution is significantly higher when leadership assignment rule is volunteer compared to when leadership assignment rule is other.
5276,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leadershipEndogenous,https://data.cooperationdatabank.org/id/leadershipendogenous/exogenous,https://data.cooperationdatabank.org/id/leadershipendogenous/endogenous,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Endogenous leadership,Exogenous,Endogenous,higher,Contribution is significantly higher when endogenous leadership is exogenous compared to when endogenous leadership is endogenous.
5471,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/male,https://data.cooperationdatabank.org/id/leadercharacteristic/female,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leader's characteristic,Male,Female,higher,Contribution is significantly higher when leader's characteristic is male compared to when leader's characteristic is female.
