,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
93,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/proself,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Proself,higher,Withdrawal is significantly higher when svo type is prosocial compared to when svo type is proself.
411,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/individualist,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Individualist,Prosocial,lower,Contribution is significantly lower when svo type is individualist compared to when svo type is prosocial.
1625,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/proself,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Proself,higher,Contribution is significantly higher when svo type is prosocial compared to when svo type is proself.
3826,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/individualist,https://data.cooperationdatabank.org/id/svotype/competitor,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Individualist,Competitor,higher,Cooperation is significantly higher when svo type is individualist compared to when svo type is competitor.
4996,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/individualist,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Individualist,Prosocial,lower,Cooperation is significantly lower when svo type is individualist compared to when svo type is prosocial.
5023,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/proself,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Proself,higher,Cooperation is significantly higher when svo type is prosocial compared to when svo type is proself.
5132,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/competitor,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Competitor,higher,Cooperation is significantly higher when svo type is prosocial compared to when svo type is competitor.
5422,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/competitor,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Competitor,higher,Cooperation is significantly higher when svo type is prosocial compared to when svo type is competitor.
5425,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sVOType,https://data.cooperationdatabank.org/id/svotype/prosocial,https://data.cooperationdatabank.org/id/svotype/competitor,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,SVO type,Prosocial,Competitor,higher,Cooperation is significantly higher when svo type is prosocial compared to when svo type is competitor.
6028,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,Individual difference level,High,Low,higher,Contribution is significantly higher when individual difference level is high compared to when individual difference level is low.
6030,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,Individual difference level,High,Low,higher,Cooperation is significantly higher when individual difference level is high compared to when individual difference level is low.
6212,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,Individual difference level,High,Low,lower,Contribution is significantly lower when individual difference level is high compared to when individual difference level is low.
