,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
310,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,higher,Cooperation is significantly higher when symmetric endowment is false compared to when symmetric endowment is true.
741,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,https://data.cooperationdatabank.org/id/mpcrlevel/low,https://data.cooperationdatabank.org/id/mpcrlevel/high,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,MPCR level,Low,High,lower,Cooperation is significantly lower when mpcr level is low compared to when mpcr level is high.
747,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,https://data.cooperationdatabank.org/id/mpcrlevel/low,https://data.cooperationdatabank.org/id/mpcrlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,MPCR level,Low,Medium,lower,Cooperation is significantly lower when mpcr level is low compared to when mpcr level is medium.
1204,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,lower,Cooperation is significantly lower when symmetric endowment is false compared to when symmetric endowment is true.
1213,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,lower,Cooperation is significantly lower when symmetric endowment is false compared to when symmetric endowment is true.
1533,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,https://data.cooperationdatabank.org/id/endowmentlevel/low,https://data.cooperationdatabank.org/id/endowmentlevel/high,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Endowment level,Low,High,higher,Cooperation is significantly higher when endowment level is low compared to when endowment level is high.
1920,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,https://data.cooperationdatabank.org/id/endowmentlevel/medium,https://data.cooperationdatabank.org/id/endowmentlevel/low,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Endowment level,Medium,Low,lower,Cooperation is significantly lower when endowment level is medium compared to when endowment level is low.
2405,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,https://data.cooperationdatabank.org/id/mpcrlevel/low,https://data.cooperationdatabank.org/id/mpcrlevel/high,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,MPCR level,Low,High,higher,Cooperation is significantly higher when mpcr level is low compared to when mpcr level is high.
2407,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/privateAccountReturnLevel,https://data.cooperationdatabank.org/id/privateaccountreturnlevel/high,https://data.cooperationdatabank.org/id/privateaccountreturnlevel/low,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Private account return level,High,Low,higher,Cooperation is significantly higher when private account return level is high compared to when private account return level is low.
2802,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,https://data.cooperationdatabank.org/id/mpcrlevel/low,https://data.cooperationdatabank.org/id/mpcrlevel/medium,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,MPCR level,Low,Medium,lower,Cooperation is significantly lower when mpcr level is low compared to when mpcr level is medium.
