,dependent,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,comparative,hypothesis
182,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,higher,Cooperation is significantly higher when punishment treatment is 1 compared to when punishment treatment is -1.
1010,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,higher,Cooperation is significantly higher when punishment treatment is 1 compared to when punishment treatment is -1.
1011,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentAgent,https://data.cooperationdatabank.org/id/punishmentagent/leader,https://data.cooperationdatabank.org/id/punishmentagent/network,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment agent,Leader,Network,higher,Cooperation is significantly higher when punishment agent is leader compared to when punishment agent is network.
1038,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentIncentive,https://data.cooperationdatabank.org/id/punishmentincentive/monetary,https://data.cooperationdatabank.org/id/punishmentincentive/non-monetary_social,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment incentive,Monetary,Non-monetary Social,higher,Cooperation is significantly higher when punishment incentive is monetary compared to when punishment incentive is non-monetary social.
1087,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,higher,Cooperation is significantly higher when punishment treatment is 1 compared to when punishment treatment is -1.
1101,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,lower,Cooperation is significantly lower when punishment treatment is 1 compared to when punishment treatment is -1.
1129,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentAgent,https://data.cooperationdatabank.org/id/punishmentagent/peer,https://data.cooperationdatabank.org/id/punishmentagent/other,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment agent,Peer,Other,lower,Cooperation is significantly lower when punishment agent is peer compared to when punishment agent is other.
1686,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/0,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,0,1,higher,Cooperation is significantly higher when punishment treatment is 0 compared to when punishment treatment is 1.
1751,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/0,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,0,1,lower,Cooperation is significantly lower when punishment treatment is 0 compared to when punishment treatment is 1.
2591,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,higher,Cooperation is significantly higher when punishment treatment is 1 compared to when punishment treatment is -1.
2833,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/0,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,0,1,higher,Cooperation is significantly higher when punishment treatment is 0 compared to when punishment treatment is 1.
3239,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,Punishment treatment,1,-1,lower,Cooperation is significantly lower when punishment treatment is 1 compared to when punishment treatment is -1.
