,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
107,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/low,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Low,Academic discipline,Psychology,lower,"When comparing studies where power level is high and studies where power level is low, contribution is significantly lower when academic discipline is psychology compared to when academic discipline has another value."
772,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/CHN,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,has country,CHN,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when has country is chn compared to when has country has another value."
773,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Source of country or region,Specified country,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
774,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Deception,na,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when deception is true compared to when deception has another value."
775,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Discussion,Absent,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when discussion is absent compared to when discussion has another value."
783,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Published,Published Article,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when published is published article compared to when published has another value."
785,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Acquaintance,Strangers,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
786,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/3,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Game type,Resource Dilemma,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when game type is resource dilemma compared to when game type has another value."
787,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Experimental setting,Lab,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when experimental setting is lab compared to when experimental setting has another value."
788,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Game incentive,Monetary,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when game incentive is monetary compared to when game incentive has another value."
791,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Matching,Stranger,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when matching is stranger compared to when matching has another value."
793,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,One-shot vs repeated,One-shot,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
795,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/2,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Real partner,Deception,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when real partner is deception compared to when real partner has another value."
796,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Student sample,na,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when student sample is true compared to when student sample has another value."
797,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,true,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Symmetry,na,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when symmetry is true compared to when symmetry has another value."
798,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Trial of cooperation,All trials,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
800,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/yearSource,https://data.cooperationdatabank.org/id/yearsource/4,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Source of year of data collection,Received/Submitted,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when source of year of data collection is submitted compared to when source of year of data collection has another value."
803,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,Leadership assignment rule,Authority,Fixed ,Show-up fee,Paid,lower,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , withdrawal is significantly lower when show-up fee is paid compared to when show-up fee has another value."
