,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
115335,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/ITA,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,has country,ITA,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when has country is ita compared to when has country has another value."
115337,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Source of country or region,Specified country,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
115339,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Deception,na,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when deception is false compared to when deception has another value."
115355,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Published,Published Article,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when published is published article compared to when published has another value."
115357,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Sanction,na,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when sanction is false compared to when sanction has another value."
115365,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Game type,Public Goods Game,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
115367,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Experimental setting,Lab,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
115369,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Game incentive,Monetary,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
115373,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,Matching,Partner,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when matching is partner compared to when matching has another value."
115377,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,Relationship with the partner,acquaintance,stranger,One-shot vs repeated,Repeated,higher,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
