,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
113670,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,has country,USA,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when has country is usa compared to when has country has another value."
113671,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Source of country or region,Specified country,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
113672,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Deception,na,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when deception is false compared to when deception has another value."
113673,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Discussion,Absent,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
113681,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Published,Published Article,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when published is published article compared to when published has another value."
113682,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Sanction,na,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when sanction is false compared to when sanction has another value."
113683,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Acquaintance,Strangers,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
113684,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Game type,Public Goods Game,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
113685,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/4,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Experimental setting,Field,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when experimental setting is field compared to when experimental setting has another value."
113686,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/ageCohort,https://data.cooperationdatabank.org/id/agecohort/old,https://data.cooperationdatabank.org/id/agecohort/young,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,Age cohort,old,young,Game incentive,Monetary,higher,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
