,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
102746,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/DEU,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,has country,DEU,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when has country is deu compared to when has country has another value."
102747,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/4,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Source of country or region,Most authors,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when source of country or region is most authors compared to when source of country or region has another value."
102748,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Deception,na,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when deception is true compared to when deception has another value."
102749,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Discussion,Absent,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when discussion is absent compared to when discussion has another value."
102757,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Published,Published Article,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when published is published article compared to when published has another value."
102758,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Sanction,na,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when sanction is false compared to when sanction has another value."
102759,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Acquaintance,Strangers,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
102760,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Game type,Prisoner's Dilemma Game,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
102761,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/1,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Experimental setting,Online,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when experimental setting is online compared to when experimental setting has another value."
102762,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/4,https://data.cooperationdatabank.org/vocab/prop/anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,https://data.cooperationdatabank.org/id/anchor/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,Anchor,low cooperation,high cooperation ,Game incentive,Non-monetary lottery,lower,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , contribution is significantly lower when game incentive is non-monetary lottery compared to when game incentive has another value."
