,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
1909,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Recruitment method,Participant pool,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
59917,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/SWE,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,has country,SWE,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when has country is swe compared to when has country has another value."
59918,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/3,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Source of country or region,All authors,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
59919,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Deception,na,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when deception is false compared to when deception has another value."
59926,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Published,Published Article,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when published is published article compared to when published has another value."
59930,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Acquaintance,Strangers,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
59931,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Game type,Public Goods Game,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
59932,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Experimental setting,Lab,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
59933,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Game incentive,Monetary,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
59935,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,Participant's behavior level,Low,High,Known endgame,na,lower,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
