,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
52017,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,has country,NLD,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when has country is nld compared to when has country has another value."
52018,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Source of country or region,Specified country,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
52019,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Deception,na,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when deception is false compared to when deception has another value."
52020,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Discussion,Absent,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
52025,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Published,Published Article,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when published is published article compared to when published has another value."
52026,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Sanction,na,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when sanction is false compared to when sanction has another value."
52027,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Academic discipline,Mixed,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when academic discipline is mixed compared to when academic discipline has another value."
52028,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Acquaintance,Strangers,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
52029,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Game type,Prisoner's Dilemma Game,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
52030,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Experimental setting,Lab,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
52031,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Game incentive,Monetary,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
52033,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,Cognitive load treatment,na,na,Matching,Partner,higher,"When comparing studies where cognitive load treatment is true and studies where cognitive load treatment is false, cooperation is significantly higher when matching is partner compared to when matching has another value."
