,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
27560,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Known endgame,na,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
27639,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Recruitment method,Other,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when recruitment method is other compared to when recruitment method has another value."
28745,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/DEU,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,has country,DEU,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when has country is deu compared to when has country has another value."
28746,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Source of country or region,Specified country,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
28747,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Deception,na,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when deception is false compared to when deception has another value."
28755,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Published,Published Article,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when published is published article compared to when published has another value."
28757,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Academic discipline,Economics,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when academic discipline is economics compared to when academic discipline has another value."
28758,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Acquaintance,Strangers,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
28759,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Game type,Public Goods Game,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
28760,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Experimental setting,Lab,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
28763,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Matching,Partner,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when matching is partner compared to when matching has another value."
28765,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,One-shot vs repeated,Repeated,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
28766,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Real partner,Real,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when real partner is real compared to when real partner has another value."
28767,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,True,False,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,Communication treatment,na,na,Student sample,na,higher,"When comparing studies where communication treatment is true and studies where communication treatment is false, cooperation is significantly higher when student sample is true compared to when student sample has another value."
