,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
50041,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,has country,NLD,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when has country is nld compared to when has country has another value."
50042,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Source of country or region,Specified country,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
50043,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Deception,na,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when deception is false compared to when deception has another value."
50044,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Discussion,Absent,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when discussion is absent compared to when discussion has another value."
50048,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Published,Published Article,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when published is published article compared to when published has another value."
50049,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Sanction,na,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when sanction is false compared to when sanction has another value."
50050,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Acquaintance,Strangers,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
50051,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Game type,Public Goods Game,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when game type is public goods game compared to when game type has another value."
50052,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/3,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Experimental setting,Class,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when experimental setting is class compared to when experimental setting has another value."
50053,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,https://data.cooperationdatabank.org/id/criticalitylevel/low,https://data.cooperationdatabank.org/id/criticalitylevel/high,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,Criticality level,Low,High,Game incentive,Monetary,lower,"When comparing studies where criticality level is low and studies where criticality level is high, contribution is significantly lower when game incentive is monetary compared to when game incentive has another value."
