,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
7608,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/5,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Academic discipline,Other,lower,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly lower when academic discipline is other compared to when academic discipline has another value."
7641,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/5,https://data.cooperationdatabank.org/vocab/prop/academicDiscipline,https://data.cooperationdatabank.org/id/academicdiscipline/economics,https://data.cooperationdatabank.org/id/academicdiscipline/others,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Academic discipline,Economics,Others,Academic discipline,Other,lower,"When comparing studies where academic discipline is economics and studies where academic discipline is others, cooperation is significantly lower when academic discipline is other compared to when academic discipline has another value."
7680,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Known endgame,na,lower,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
7684,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,false,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Repeated one-shot game,na,lower,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly lower when repeated one-shot game is false compared to when repeated one-shot game has another value."
16088,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Show-up fee,Paid,lower,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly lower when show-up fee is paid compared to when show-up fee has another value."
16296,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/ZMB,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,has country,ZMB,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when has country is zmb compared to when has country has another value."
16297,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Source of country or region,Specified country,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
16298,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Deception,na,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when deception is false compared to when deception has another value."
16299,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Discussion,Absent,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
16302,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Published,Published Article,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when published is published article compared to when published has another value."
16303,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Sanction,na,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when sanction is false compared to when sanction has another value."
16304,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Acquaintance,Strangers,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
16305,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Game type,Prisoner's Dilemma Game,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
16308,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Game incentive,Monetary,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
16310,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Matching,Partner,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when matching is partner compared to when matching has another value."
16312,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,One-shot vs repeated,Repeated,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
16313,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Real partner,Real,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when real partner is real compared to when real partner has another value."
16316,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,true,https://data.cooperationdatabank.org/vocab/prop/student,True,False,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,Student sample,na,na,Symmetry,na,higher,"When comparing studies where student sample is true and studies where student sample is false, cooperation is significantly higher when symmetry is true compared to when symmetry has another value."
