,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
5151,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/happiness,https://data.cooperationdatabank.org/id/emotion/sadness,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Happiness,Sadness,Student sample,na,lower,"When comparing studies where emotion is happiness and studies where emotion is sadness, contribution is significantly lower when student sample is true compared to when student sample has another value."
116726,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/disappointment,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Disappointment,Student sample,na,higher,"When comparing studies where emotion is neutral and studies where emotion is disappointment, contribution is significantly higher when student sample is true compared to when student sample has another value."
140741,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Continuous vs step-level public goods,Continuous,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, contribution is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
140801,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/id/emotion/sadness,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Anger,Sadness,Continuous vs step-level public goods,Continuous,lower,"When comparing studies where emotion is anger and studies where emotion is sadness, contribution is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
140896,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,has country,USA,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when has country is usa compared to when has country has another value."
140897,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/3,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Source of country or region,All authors,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when source of country or region is all authors compared to when source of country or region has another value."
140898,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Deception,na,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when deception is false compared to when deception has another value."
140899,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Discussion,Absent,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when discussion is absent compared to when discussion has another value."
140906,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Published,Published Article,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when published is published article compared to when published has another value."
140908,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Acquaintance,Strangers,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
140909,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/3,https://data.cooperationdatabank.org/vocab/prop/emotion,https://data.cooperationdatabank.org/id/emotion/neutral,https://data.cooperationdatabank.org/id/emotion/anger,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,Emotion,Neutral,Anger,Game type,Resource Dilemma,higher,"When comparing studies where emotion is neutral and studies where emotion is anger, withdrawal is significantly higher when game type is resource dilemma compared to when game type has another value."
