,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
31135,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/ZAF,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,has country,ZAF,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when has country is zaf compared to when has country has another value."
31137,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/2,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Source of country or region,Multiple countries,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when source of country or region is multiple countries compared to when source of country or region has another value."
31139,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Deception,na,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when deception is false compared to when deception has another value."
31143,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/1,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Discussion,Uni-directional,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when discussion is uni-directional compared to when discussion has another value."
31157,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Published,Published Article,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when published is published article compared to when published has another value."
31159,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Sanction,na,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when sanction is false compared to when sanction has another value."
31161,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Academic discipline,Economics,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when academic discipline is economics compared to when academic discipline has another value."
31163,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/2,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Acquaintance,Possible Acquaintance,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when acquaintance is possible acquaintance compared to when acquaintance has another value."
31165,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Game type,Public Goods Game,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
31167,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Experimental setting,Lab,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
31173,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Known endgame,na,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
31175,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,https://data.cooperationdatabank.org/id/ethnicityus/white,https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,Ethnicity (US),White,Black or African American,Matching,Partner,higher,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly higher when matching is partner compared to when matching has another value."
