,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
60220,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Continuous vs step-level public goods,Continuous,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
122100,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Sanction,na,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when sanction is false compared to when sanction has another value."
122105,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Game incentive,Monetary,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
122113,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Student sample,na,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when student sample is true compared to when student sample has another value."
122126,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/1,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Discussion,Uni-directional,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when discussion is uni-directional compared to when discussion has another value."
122137,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Known endgame,na,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
122148,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Recruitment method,Other,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when recruitment method is other compared to when recruitment method has another value."
123375,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Discussion,Absent,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
124209,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,has country,NLD,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when has country is nld compared to when has country has another value."
124210,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,Expectations level,Low,High,Source of country or region,Specified country,lower,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
