,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
91485,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,false,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab,https://data.cooperationdatabank.org/id/experimentalsetting/online,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab,Online,Student sample,na,lower,"When comparing studies where experimental setting is lab and studies where experimental setting is online, cooperation is significantly lower when student sample is false compared to when student sample has another value."
91491,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/2,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab,https://data.cooperationdatabank.org/id/experimentalsetting/online,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab,Online,Recruitment method,MTurk,lower,"When comparing studies where experimental setting is lab and studies where experimental setting is online, cooperation is significantly lower when recruitment method is mturk compared to when recruitment method has another value."
163484,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/lab,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Lab,Experimental setting,Lab,higher,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is lab, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
163500,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/lab,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Lab,Student sample,na,higher,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is lab, cooperation is significantly higher when student sample is true compared to when student sample has another value."
163512,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/lab,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Lab,Recruitment method,Participant pool,higher,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is lab, cooperation is significantly higher when recruitment method is participant pool compared to when recruitment method has another value."
163514,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/field,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Field,has country,NLD,lower,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is field, cooperation is significantly lower when has country is nld compared to when has country has another value."
163515,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/field,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Field,Source of country or region,Specified country,lower,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is field, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
163516,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/field,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Field,Deception,na,lower,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is field, cooperation is significantly lower when deception is false compared to when deception has another value."
163517,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/field,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Field,Discussion,Absent,lower,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is field, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
163520,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,https://data.cooperationdatabank.org/id/experimentalsetting/field,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,Experimental setting,Lab in the field,Field,Published,Published Article,lower,"When comparing studies where experimental setting is lab in the field and studies where experimental setting is field, cooperation is significantly lower when published is published article compared to when published has another value."
