,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
4310,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,1.16E0,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/id/feedbacktarget/absent,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Group,Absent,Resource Dilemma Game-related independent variables,na,higher,"When comparing studies where feedback target is group and studies where feedback target is absent, cooperation is significantly lower when resource dilemma game-related independent variables is 1.16e0 compared to when resource dilemma game-related independent variables has another value."
5408,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/3,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Game incentive,Non-monetary,lower,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly lower when game incentive is non-monetary compared to when game incentive has another value."
21114,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/ITA,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,has country,ITA,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when has country is ita compared to when has country has another value."
21115,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Source of country or region,Specified country,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
21116,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Deception,na,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when deception is false compared to when deception has another value."
21123,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Published,Published Article,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when published is published article compared to when published has another value."
21124,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Sanction,na,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when sanction is false compared to when sanction has another value."
21125,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Acquaintance,Strangers,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
21126,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Game type,Public Goods Game,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
21127,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,https://data.cooperationdatabank.org/id/feedbacktarget/individual,https://data.cooperationdatabank.org/id/feedbacktarget/group,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,Feedback target,Individual,Group,Experimental setting,Lab,higher,"When comparing studies where feedback target is individual and studies where feedback target is group, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
