,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
21892,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/3,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/other_game,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Other Game,Prisoner's Dilemma Game,Academic discipline,Sociology,higher,"When comparing studies where game type is other game and studies where game type is prisoner's dilemma game, cooperation is significantly higher when academic discipline is sociology compared to when academic discipline has another value."
21958,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/other_game,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Other Game,Prisoner's Dilemma Game,Show-up fee,Paid,higher,"When comparing studies where game type is other game and studies where game type is prisoner's dilemma game, cooperation is significantly higher when show-up fee is paid compared to when show-up fee has another value."
55554,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/other_game,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Other Game,Resource Dilemma,Academic discipline,Psychology,lower,"When comparing studies where game type is other game and studies where game type is resource dilemma, cooperation is significantly lower when academic discipline is psychology compared to when academic discipline has another value."
55563,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,false,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/other_game,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Other Game,Resource Dilemma,Repeated one-shot game,na,lower,"When comparing studies where game type is other game and studies where game type is resource dilemma, cooperation is significantly lower when repeated one-shot game is false compared to when repeated one-shot game has another value."
112039,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,has country,NLD,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when has country is nld compared to when has country has another value."
112040,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Source of country or region,Specified country,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
112041,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Deception,na,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when deception is true compared to when deception has another value."
112042,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Discussion,Absent,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
112046,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Published,Published Article,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when published is published article compared to when published has another value."
112048,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Acquaintance,Strangers,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
112049,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Game type,Prisoner's Dilemma Game,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
112050,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Experimental setting,Lab,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
112053,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Known endgame,na,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
112054,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/gameType,https://data.cooperationdatabank.org/id/gametype/prisoner's_dilemma_game,https://data.cooperationdatabank.org/id/gametype/chicken_game,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,Game type,Prisoner's Dilemma Game,Chicken Game,Matching,Partner,lower,"When comparing studies where game type is prisoner's dilemma game and studies where game type is chicken game, cooperation is significantly lower when matching is partner compared to when matching has another value."
