,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
35430,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/2,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/high,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,High,Continuous vs step-level public goods,Step-level,higher,"When comparing studies where group size level is low and studies where group size level is high, contribution is significantly higher when continuous vs step-level public goods is step-level compared to when continuous vs step-level public goods has another value."
56801,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/high,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,High,Show-up fee,Paid,lower,"When comparing studies where group size level is low and studies where group size level is high, contribution is significantly lower when show-up fee is paid compared to when show-up fee has another value."
61950,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/AUS,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,has country,AUS,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when has country is aus compared to when has country has another value."
61953,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Source of country or region,Specified country,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
61956,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Deception,na,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when deception is false compared to when deception has another value."
61968,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Published,Published Article,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when published is published article compared to when published has another value."
61971,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Sanction,na,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when sanction is false compared to when sanction has another value."
61974,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Acquaintance,Strangers,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
61977,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Game type,Public Goods Game,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
61980,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,https://data.cooperationdatabank.org/id/groupsizelevel/low,https://data.cooperationdatabank.org/id/groupsizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Group_SizeVariable,Group size level,Low,Medium,Experimental setting,Lab,higher,"When comparing studies where group size level is low and studies where group size level is medium, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
