,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
7576,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Ingroup,Outgroup,Academic discipline,Mixed,higher,"When comparing studies where partner's group membership is ingroup and studies where partner's group membership is outgroup, cooperation is significantly higher when academic discipline is mixed compared to when academic discipline has another value."
13594,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/id/targetmembership/outgroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Ingroup,Outgroup,has country,USA,higher,"When comparing studies where partner's group membership is ingroup and studies where partner's group membership is outgroup, cooperation is significantly higher when has country is usa compared to when has country has another value."
24801,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Discussion,Absent,higher,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
24806,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Sanction,na,higher,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly higher when sanction is false compared to when sanction has another value."
26533,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Deception,na,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly lower when deception is false compared to when deception has another value."
26561,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Known endgame,na,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
26571,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Real partner,Real,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly lower when real partner is real compared to when real partner has another value."
26573,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Student sample,na,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, cooperation is significantly lower when student sample is true compared to when student sample has another value."
50712,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Known endgame,na,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, contribution is significantly lower when known endgame is true compared to when known endgame has another value."
50724,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/targetMembership,https://data.cooperationdatabank.org/id/targetmembership/stranger,https://data.cooperationdatabank.org/id/targetmembership/ingroup,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,Partner's group membership,Stranger,Ingroup,Student sample,na,lower,"When comparing studies where partner's group membership is stranger and studies where partner's group membership is ingroup, contribution is significantly lower when student sample is true compared to when student sample has another value."
