,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
40833,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Known endgame,na,higher,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly higher when known endgame is true compared to when known endgame has another value."
40859,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Show-up fee,Paid,higher,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly higher when show-up fee is paid compared to when show-up fee has another value."
47693,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Sanction,na,higher,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly higher when sanction is false compared to when sanction has another value."
47801,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Student sample,na,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly lower when student sample is true compared to when student sample has another value."
47806,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Continuous vs step-level public goods,Continuous,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
47808,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Show-up fee,Paid,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly lower when show-up fee is paid compared to when show-up fee has another value."
47809,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Recruitment method,Participant pool,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
48303,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Known endgame,na,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
56104,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,Discussion,Absent,higher,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly higher when discussion is absent compared to when discussion has another value."
56251,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/FRA,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,Institutional choice,Endogenous,Exogenous,has country,FRA,lower,"When comparing studies where institutional choice is endogenous and studies where institutional choice is exogenous, contribution is significantly lower when has country is fra compared to when has country has another value."
