,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
46457,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/stranger,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Stranger,Partner,One-shot vs repeated,Repeated,lower,"When comparing studies where matching is stranger and studies where matching is partner, cooperation is significantly lower when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
58272,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/stranger,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Stranger,Partner,Matching,Partner,lower,"When comparing studies where matching is stranger and studies where matching is partner, cooperation is significantly lower when matching is partner compared to when matching has another value."
58488,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/stranger,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Stranger,Partner,Matching,Partner,lower,"When comparing studies where matching is stranger and studies where matching is partner, cooperation is significantly lower when matching is partner compared to when matching has another value."
97128,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Partner,Partner's choice,Sanction,na,lower,"When comparing studies where matching is partner and studies where matching is partner's choice, cooperation is significantly lower when sanction is false compared to when sanction has another value."
97150,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Partner,Partner's choice,Student sample,na,lower,"When comparing studies where matching is partner and studies where matching is partner's choice, cooperation is significantly lower when student sample is true compared to when student sample has another value."
97160,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/matching,https://data.cooperationdatabank.org/id/matching/partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Matching,Partner,Partner's choice,Recruitment method,Other,lower,"When comparing studies where matching is partner and studies where matching is partner's choice, cooperation is significantly lower when recruitment method is other compared to when recruitment method has another value."
97165,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/JPN,https://data.cooperationdatabank.org/vocab/prop/partnerChoice,https://data.cooperationdatabank.org/id/partnerchoice/exogenous,https://data.cooperationdatabank.org/id/partnerchoice/endogenous,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Partner choice,Exogenous,Endogenous,has country,JPN,lower,"When comparing studies where partner choice is exogenous and studies where partner choice is endogenous, cooperation is significantly lower when has country is jpn compared to when has country has another value."
97167,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/partnerChoice,https://data.cooperationdatabank.org/id/partnerchoice/exogenous,https://data.cooperationdatabank.org/id/partnerchoice/endogenous,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Partner choice,Exogenous,Endogenous,Source of country or region,Specified country,lower,"When comparing studies where partner choice is exogenous and studies where partner choice is endogenous, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
97169,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/partnerChoice,https://data.cooperationdatabank.org/id/partnerchoice/exogenous,https://data.cooperationdatabank.org/id/partnerchoice/endogenous,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Partner choice,Exogenous,Endogenous,Deception,na,lower,"When comparing studies where partner choice is exogenous and studies where partner choice is endogenous, cooperation is significantly lower when deception is true compared to when deception has another value."
97171,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/partnerChoice,https://data.cooperationdatabank.org/id/partnerchoice/exogenous,https://data.cooperationdatabank.org/id/partnerchoice/endogenous,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,Partner choice,Exogenous,Endogenous,Discussion,Absent,lower,"When comparing studies where partner choice is exogenous and studies where partner choice is endogenous, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
