,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
8071,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,has country,USA,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when has country is usa compared to when has country has another value."
8073,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/3,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Source of country or region,All authors,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when source of country or region is all authors compared to when source of country or region has another value."
8075,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Deception,na,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when deception is false compared to when deception has another value."
8085,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Published,Published Article,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when published is published article compared to when published has another value."
8087,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Sanction,na,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when sanction is false compared to when sanction has another value."
8091,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Acquaintance,Strangers,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
8093,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Game type,Prisoner's Dilemma Game,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
8095,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Experimental setting,Lab,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
8101,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Matching,Partner,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when matching is partner compared to when matching has another value."
8107,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,https://data.cooperationdatabank.org/id/motivationalorientation/competitive,https://data.cooperationdatabank.org/vocab/prop/Motivational_OrientationVariable,Motivational orientation,Cooperative,Competitive,Real partner,Real,higher,"When comparing studies where motivational orientation is cooperative and studies where motivational orientation is competitive, cooperation is significantly higher when real partner is real compared to when real partner has another value."
