,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
100596,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,has country,USA,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when has country is usa compared to when has country has another value."
100597,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/4,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Source of country or region,Most authors,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when source of country or region is most authors compared to when source of country or region has another value."
100598,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Deception,na,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when deception is true compared to when deception has another value."
100607,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Published,Published Article,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when published is published article compared to when published has another value."
100608,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Sanction,na,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when sanction is false compared to when sanction has another value."
100610,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Acquaintance,Strangers,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
100611,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Game type,Public Goods Game,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
100612,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/3,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Experimental setting,Class,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when experimental setting is class compared to when experimental setting has another value."
100613,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/2,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Game incentive,Monetary lottery,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when game incentive is monetary lottery compared to when game incentive has another value."
100615,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,false,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,Descriptive norm,Medium Cooperation,High Cooperation,Known endgame,na,lower,"When comparing studies where descriptive norm is medium cooperation and studies where descriptive norm is high cooperation, cooperation is significantly lower when known endgame is false compared to when known endgame has another value."
