,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
13499,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/SGP,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,has country,SGP,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when has country is sgp compared to when has country has another value."
13500,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Source of country or region,Specified country,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
13501,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Deception,na,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when deception is true compared to when deception has another value."
13502,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Discussion,Absent,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
13508,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Published,Published Article,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when published is published article compared to when published has another value."
13509,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Sanction,na,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when sanction is false compared to when sanction has another value."
13510,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Acquaintance,Strangers,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
13511,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Game type,Public Goods Game,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
13512,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Experimental setting,Lab,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
13513,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/ostracism,False,True,https://data.cooperationdatabank.org/vocab/prop/OstracismVariable,Ostracism,na,na,Game incentive,Monetary,higher,"When comparing studies where ostracism is false and studies where ostracism is true, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
