,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
29283,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/CHE,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_competitive,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated strategy,Predominantly Competitive,Predominantly Cooperative,has country,CHE,higher,"When comparing studies where iterated strategy is predominantly competitive and studies where iterated strategy is predominantly cooperative, cooperation is significantly higher when has country is che compared to when has country has another value."
29287,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_competitive,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated strategy,Predominantly Competitive,Predominantly Cooperative,Deception,na,higher,"When comparing studies where iterated strategy is predominantly competitive and studies where iterated strategy is predominantly cooperative, cooperation is significantly higher when deception is true compared to when deception has another value."
29288,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_competitive,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated strategy,Predominantly Competitive,Predominantly Cooperative,Discussion,Absent,higher,"When comparing studies where iterated strategy is predominantly competitive and studies where iterated strategy is predominantly cooperative, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
29306,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/2,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_competitive,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated strategy,Predominantly Competitive,Predominantly Cooperative,Real partner,Deception,higher,"When comparing studies where iterated strategy is predominantly competitive and studies where iterated strategy is predominantly cooperative, cooperation is significantly higher when real partner is deception compared to when real partner has another value."
66721,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,has country,NLD,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when has country is nld compared to when has country has another value."
66723,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,Source of country or region,Specified country,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
66725,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,Deception,na,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when deception is true compared to when deception has another value."
66727,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/2,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,Discussion,Bi-directional,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when discussion is bi-directional compared to when discussion has another value."
66743,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,Published,Published Article,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when published is published article compared to when published has another value."
66745,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,Iterated pre-programmed cooperation rate level,High,Low,Sanction,na,higher,"When comparing studies where iterated pre-programmed cooperation rate level is high and studies where iterated pre-programmed cooperation rate level is low, cooperation is significantly higher when sanction is false compared to when sanction has another value."
