,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
102487,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Deception,na,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when deception is true compared to when deception has another value."
114256,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Continuous vs step-level public goods,Continuous,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
114313,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Known endgame,na,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
114318,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Real partner,Real,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when real partner is real compared to when real partner has another value."
114319,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/0,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Real partner,Hypothetical,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when real partner is hypothetical compared to when real partner has another value."
130516,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/1,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Discussion,Uni-directional,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when discussion is uni-directional compared to when discussion has another value."
130524,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/id/partnertype/computer,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Stranger,Computer,Game incentive,Monetary,higher,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
147792,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/peer,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Peer,Stranger,has country,USA,higher,"When comparing studies where partner type is peer and studies where partner type is stranger, cooperation is significantly higher when has country is usa compared to when has country has another value."
147794,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/3,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/peer,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Peer,Stranger,Source of country or region,All authors,higher,"When comparing studies where partner type is peer and studies where partner type is stranger, cooperation is significantly higher when source of country or region is all authors compared to when source of country or region has another value."
147814,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/partnerType,https://data.cooperationdatabank.org/id/partnertype/peer,https://data.cooperationdatabank.org/id/partnertype/stranger,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,Partner type,Peer,Stranger,Published,Published Article,higher,"When comparing studies where partner type is peer and studies where partner type is stranger, cooperation is significantly higher when published is published article compared to when published has another value."
