,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
12148,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/5,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Academic discipline,Other,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when academic discipline is other compared to when academic discipline has another value."
49161,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/0,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Game incentive,Hypothetical,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when game incentive is hypothetical compared to when game incentive has another value."
49175,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Recruitment method,Other,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when recruitment method is other compared to when recruitment method has another value."
49258,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Known endgame,na,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when known endgame is true compared to when known endgame has another value."
49262,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,false,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Repeated one-shot game,na,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when repeated one-shot game is false compared to when repeated one-shot game has another value."
49271,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Show-up fee,Paid,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when show-up fee is paid compared to when show-up fee has another value."
49273,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,has country,NLD,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when has country is nld compared to when has country has another value."
49274,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Source of country or region,Specified country,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
49275,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Deception,na,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when deception is true compared to when deception has another value."
49276,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,Partner perception level,high,low,Discussion,Absent,higher,"When comparing studies where partner perception level is high and studies where partner perception level is low, contribution is significantly higher when discussion is absent compared to when discussion has another value."
