,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
6098,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Discussion,Absent,higher,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
51316,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Sanction,na,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when sanction is false compared to when sanction has another value."
82640,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Discussion,Absent,higher,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
82701,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,has country,USA,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when has country is usa compared to when has country has another value."
82702,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Source of country or region,Specified country,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
82703,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Deception,na,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when deception is false compared to when deception has another value."
82704,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Discussion,Absent,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
82710,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Published,Published Article,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when published is published article compared to when published has another value."
82712,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Acquaintance,Strangers,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
82713,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Game type,Public Goods Game,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
82714,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,Trial of cooperation (ordinal),first,last,Experimental setting,Lab,lower,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
