,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
107,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/low,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Low,Academic discipline,Psychology,lower,"When comparing studies where power level is high and studies where power level is low, cooperation is significantly lower when academic discipline is psychology compared to when academic discipline has another value."
73142,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,1.01E0,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/low,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Low,Resource Dilemma Game-related independent variables,na,higher,"When comparing studies where power level is high and studies where power level is low, cooperation is significantly higher when resource dilemma game-related independent variables is 1.01e0 compared to when resource dilemma game-related independent variables has another value."
90382,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/low,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Low,Recruitment method,Other,lower,"When comparing studies where power level is high and studies where power level is low, cooperation is significantly lower when recruitment method is other compared to when recruitment method has another value."
116994,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,true,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,Symmetry,na,higher,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly higher when symmetry is true compared to when symmetry has another value."
160612,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,Sanction,na,lower,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly lower when sanction is false compared to when sanction has another value."
160667,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,true,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,Student sample,na,lower,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly lower when student sample is true compared to when student sample has another value."
160677,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,true,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,Symmetry,na,lower,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly lower when symmetry is true compared to when symmetry has another value."
160702,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,Show-up fee,Paid,lower,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly lower when show-up fee is paid compared to when show-up fee has another value."
160787,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/low,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,Low,Control,Known endgame,na,higher,"When comparing studies where power level is low and studies where power level is control, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
161086,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/powerLevel,https://data.cooperationdatabank.org/id/powerlevel/high,https://data.cooperationdatabank.org/id/powerlevel/control,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,Power level,High,Control,has country,USA,lower,"When comparing studies where power level is high and studies where power level is control, cooperation is significantly lower when has country is usa compared to when has country has another value."
