,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
65911,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/CHE,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,has country,CHE,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when has country is che compared to when has country has another value."
65912,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Source of country or region,Specified country,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
65913,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Deception,na,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when deception is false compared to when deception has another value."
65914,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Discussion,Absent,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
65917,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Published,Published Article,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when published is published article compared to when published has another value."
65918,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Sanction,na,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when sanction is false compared to when sanction has another value."
65919,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Academic discipline,Mixed,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when academic discipline is mixed compared to when academic discipline has another value."
65920,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Acquaintance,Strangers,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
65921,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Game type,Public Goods Game,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
65922,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,Preference for conditional cooperation,Conditional cooperators,Freeriders,Experimental setting,Lab,higher,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
