,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
109282,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,Continuous vs step-level public goods,Continuous,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
133883,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/other,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Other,Neutral,Game incentive,Monetary,lower,"When comparing studies where primed construct is other and studies where primed construct is neutral, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
133909,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/other,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Other,Neutral,Recruitment method,Other,lower,"When comparing studies where primed construct is other and studies where primed construct is neutral, cooperation is significantly lower when recruitment method is other compared to when recruitment method has another value."
141982,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,false,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/religion,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Religion,Neutral,Repeated one-shot game,na,higher,"When comparing studies where primed construct is religion and studies where primed construct is neutral, cooperation is significantly higher when repeated one-shot game is false compared to when repeated one-shot game has another value."
141990,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/religion,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Religion,Neutral,Recruitment method,Participant pool,higher,"When comparing studies where primed construct is religion and studies where primed construct is neutral, cooperation is significantly higher when recruitment method is participant pool compared to when recruitment method has another value."
152421,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,has country,USA,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly lower when has country is usa compared to when has country has another value."
152422,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,Source of country or region,Specified country,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
152423,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,Deception,na,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly lower when deception is true compared to when deception has another value."
152424,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,Discussion,Absent,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
152428,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/primingConcept,https://data.cooperationdatabank.org/id/primingconcept/cooperation,https://data.cooperationdatabank.org/id/primingconcept/neutral,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,Primed construct,Cooperation,Neutral,Published,Published Article,higher,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, cooperation is significantly lower when published is published article compared to when published has another value."
