,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
9782,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/GBR,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,has country,GBR,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when has country is gbr compared to when has country has another value."
9786,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Source of country or region,Specified country,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
9790,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Deception,na,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when deception is false compared to when deception has another value."
9794,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Discussion,Absent,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
9810,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Published,Published Article,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when published is published article compared to when published has another value."
9818,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Acquaintance,Strangers,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
9822,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Game type,Public Goods Game,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
9826,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Experimental setting,Lab,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
9830,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Game incentive,Monetary,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
9842,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/endowmentSymmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,Symmetric endowment,na,na,Matching,Partner,higher,"When comparing studies where symmetric endowment is false and studies where symmetric endowment is true, cooperation is significantly higher when matching is partner compared to when matching has another value."
