,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
25314,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,https://data.cooperationdatabank.org/id/anonymitymanipul/high,https://data.cooperationdatabank.org/id/anonymitymanipul/low,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Anonymity manipulation,High,Low,Recruitment method,Participant pool,lower,"When comparing studies where anonymity manipulation is high and studies where anonymity manipulation is low, cooperation is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
27483,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/NLD,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,has country,NLD,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when has country is nld compared to when has country has another value."
27484,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Source of country or region,Specified country,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
27485,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Deception,na,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when deception is false compared to when deception has another value."
27486,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Discussion,Absent,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
27489,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Published,Published Article,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when published is published article compared to when published has another value."
27490,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Sanction,na,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when sanction is false compared to when sanction has another value."
27491,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Acquaintance,Strangers,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
27492,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Game type,Prisoner's Dilemma Game,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
27493,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,https://data.cooperationdatabank.org/id/partnerselection/present,https://data.cooperationdatabank.org/id/partnerselection/absent,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,Partner selection,present,absent,Experimental setting,Lab,lower,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
