,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
29410,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Source of country or region,Specified country,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
29411,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Deception,na,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when deception is true compared to when deception has another value."
29412,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Discussion,Absent,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
29420,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Published,Published Article,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when published is published article compared to when published has another value."
29421,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Sanction,na,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when sanction is false compared to when sanction has another value."
29422,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Acquaintance,Strangers,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
29423,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/3,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Game type,Resource Dilemma,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when game type is resource dilemma compared to when game type has another value."
29424,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/1,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Experimental setting,Online,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when experimental setting is online compared to when experimental setting has another value."
29425,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/2,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Game incentive,Monetary lottery,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when game incentive is monetary lottery compared to when game incentive has another value."
29427,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,https://data.cooperationdatabank.org/id/resourcesizelevel/high,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource size level,High,Medium,Matching,Partner,lower,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when matching is partner compared to when matching has another value."
