,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
7286,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Discussion,Absent,higher,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
7311,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Continuous vs step-level public goods,Continuous,higher,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
72957,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Academic discipline,Mixed,higher,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly higher when academic discipline is mixed compared to when academic discipline has another value."
104714,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/0,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Show-up fee,Absent,lower,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly lower when show-up fee is absent compared to when show-up fee has another value."
128645,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Matching,Partner,higher,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly higher when matching is partner compared to when matching has another value."
128720,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/1,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Simultaneous,Sequential turn-taking,Show-up fee,Paid,higher,"When comparing studies where sequentiality is simultaneous and studies where sequentiality is sequential turn-taking, cooperation is significantly higher when show-up fee is paid compared to when show-up fee has another value."
155537,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/1,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/sequential_leadership-by-example,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Sequential leadership-by-example,Simultaneous,One-shot vs repeated,One-shot,higher,"When comparing studies where sequentiality is sequential leadership-by-example and studies where sequentiality is simultaneous, cooperation is significantly higher when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
155589,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/sequential_leadership-by-example,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Sequential leadership-by-example,Simultaneous,Game incentive,Monetary,higher,"When comparing studies where sequentiality is sequential leadership-by-example and studies where sequentiality is simultaneous, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
155593,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/sequential_leadership-by-example,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Sequential leadership-by-example,Simultaneous,Known endgame,na,higher,"When comparing studies where sequentiality is sequential leadership-by-example and studies where sequentiality is simultaneous, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
155630,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/2,https://data.cooperationdatabank.org/vocab/prop/sequentiality,https://data.cooperationdatabank.org/id/sequentiality/sequential_leadership-by-example,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/prop/SequentialityVariable,Sequentiality,Sequential leadership-by-example,Simultaneous,Discussion,Bi-directional,higher,"When comparing studies where sequentiality is sequential leadership-by-example and studies where sequentiality is simultaneous, cooperation is significantly higher when discussion is bi-directional compared to when discussion has another value."
