,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
118980,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Known endgame,na,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
159868,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,has country,USA,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when has country is usa compared to when has country has another value."
159869,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Source of country or region,Specified country,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
159870,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Deception,na,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when deception is true compared to when deception has another value."
159871,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Discussion,Absent,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
159874,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Published,Published Article,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when published is published article compared to when published has another value."
159875,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Sanction,na,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when sanction is false compared to when sanction has another value."
159877,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Acquaintance,Strangers,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
159878,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Game type,Prisoner's Dilemma Game,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
159879,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,True,False,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,Shadow of the future,na,na,Experimental setting,Lab,higher,"When comparing studies where shadow of the future is true and studies where shadow of the future is false, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
