,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
10415,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/GBR,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,has country,GBR,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when has country is gbr compared to when has country has another value."
10419,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Source of country or region,Specified country,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
10423,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Deception,na,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when deception is false compared to when deception has another value."
10427,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Discussion,Absent,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when discussion is absent compared to when discussion has another value."
10443,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Published,Published Article,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when published is published article compared to when published has another value."
10447,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Sanction,na,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when sanction is false compared to when sanction has another value."
10451,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Acquaintance,Strangers,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
10455,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Game type,Public Goods Game,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when game type is public goods game compared to when game type has another value."
10459,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Experimental setting,Lab,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when experimental setting is lab compared to when experimental setting has another value."
10463,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Game incentive,Monetary,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when game incentive is monetary compared to when game incentive has another value."
10471,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Known endgame,na,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when known endgame is true compared to when known endgame has another value."
10475,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Matching,Partner,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when matching is partner compared to when matching has another value."
10491,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,One-shot vs repeated,Repeated,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
10495,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/1,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,https://data.cooperationdatabank.org/id/thresholdlevel/medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,Threshold level,Medium,High,Real partner,Real,lower,"When comparing studies where threshold level is medium and studies where threshold level is high, contribution is significantly lower when real partner is real compared to when real partner has another value."
