,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
9831,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,https://data.cooperationdatabank.org/id/studygameincentive/1,https://data.cooperationdatabank.org/vocab/prop/symmetric,false,true,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Game incentive,Monetary,higher,"When comparing studies where symmetry is false and studies where symmetry is true, contribution is significantly higher when game incentive is monetary compared to when game incentive has another value."
21963,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/GBR,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,has country,GBR,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when has country is gbr compared to when has country has another value."
21964,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Source of country or region,Specified country,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
21965,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,true,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Deception,na,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when deception is true compared to when deception has another value."
21970,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Published,Published Article,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when published is published article compared to when published has another value."
21971,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Sanction,na,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when sanction is false compared to when sanction has another value."
21972,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Academic discipline,Economics,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when academic discipline is economics compared to when academic discipline has another value."
21974,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Acquaintance,Strangers,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
21975,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Game type,Prisoner's Dilemma Game,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
21976,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Experimental setting,Lab,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
21979,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,Matching,Partner,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when matching is partner compared to when matching has another value."
21981,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/symmetric,True,False,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,Symmetry,na,na,One-shot vs repeated,Repeated,lower,"When comparing studies where symmetry is true and studies where symmetry is false, cooperation is significantly lower when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
