,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
12302,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/ISR,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,has country,ISR,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when has country is isr compared to when has country has another value."
12303,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Source of country or region,Specified country,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
12304,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Deception,na,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when deception is false compared to when deception has another value."
12305,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Discussion,Absent,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
12310,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Published,Published Article,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when published is published article compared to when published has another value."
12311,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Sanction,na,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when sanction is false compared to when sanction has another value."
12312,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Acquaintance,Strangers,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
12313,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/1,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Game type,Prisoner's Dilemma Game,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
12314,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Experimental setting,Lab,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
12316,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Known endgame,na,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
12317,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,Matching,Partner,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when matching is partner compared to when matching has another value."
12319,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,https://data.cooperationdatabank.org/id/studyoneshot/0,https://data.cooperationdatabank.org/vocab/prop/synchrony,True,False,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,Synchrony,na,na,One-shot vs repeated,Repeated,higher,"When comparing studies where synchrony is true and studies where synchrony is false, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
