,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
36660,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Sanction,na,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when sanction is false compared to when sanction has another value."
36662,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Academic discipline,Mixed,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when academic discipline is mixed compared to when academic discipline has another value."
36698,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/1,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Recruitment method,Participant pool,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
157850,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/USA,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,has country,USA,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when has country is usa compared to when has country has another value."
157855,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Source of country or region,Specified country,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
157860,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Deception,na,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when deception is false compared to when deception has another value."
157865,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Discussion,Absent,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
157905,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Published,Published Article,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when published is published article compared to when published has another value."
157920,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Acquaintance,Strangers,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
157925,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,Minimum contribution level,Low,High,Game type,Public Goods Game,lower,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
