,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
60662,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,https://data.cooperationdatabank.org/id/studyrealpartner/2,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_delay,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time delay,Control,Real partner,Deception,lower,"When comparing studies where time pressure is time delay and studies where time pressure is control, cooperation is significantly lower when real partner is deception compared to when real partner has another value."
114261,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/DEU,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,has country,DEU,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when has country is deu compared to when has country has another value."
114262,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Source of country or region,Specified country,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
114263,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/deception,false,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Deception,na,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when deception is false compared to when deception has another value."
114264,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/discussion,https://data.cooperationdatabank.org/id/discussion/0,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Discussion,Absent,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
114271,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,https://data.cooperationdatabank.org/id/publicationstatus/1,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Published,Published Article,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when published is published article compared to when published has another value."
114272,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/sanction,false,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Sanction,na,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when sanction is false compared to when sanction has another value."
114273,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Acquaintance,Strangers,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
114274,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,https://data.cooperationdatabank.org/id/studydilemmatype/2,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Game type,Public Goods Game,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
114275,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,https://data.cooperationdatabank.org/vocab/prop/timePressure,https://data.cooperationdatabank.org/id/timepressure/time_pressure,https://data.cooperationdatabank.org/id/timepressure/control,https://data.cooperationdatabank.org/vocab/prop/Time_PressureVariable,Time pressure,time pressure,Control,Experimental setting,Lab,lower,"When comparing studies where time pressure is time pressure and studies where time pressure is control, cooperation is significantly lower when experimental setting is lab compared to when experimental setting has another value."
