,dependent,mod,mod_val,iv,cat_t1,cat_t2,giv_prop,iv_label,cat_t1_label,cat_t2_label,mod_label,mod_val_label,comparative,hypothesis
13980,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/0,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,High,Show-up fee,Absent,lower,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, cooperation is significantly lower when show-up fee is absent compared to when show-up fee has another value."
14023,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty target,Threshold,Loss,Known endgame,na,lower,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, cooperation is significantly lower when known endgame is true compared to when known endgame has another value."
14031,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,false,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty target,Threshold,Loss,Repeated one-shot game,na,lower,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, cooperation is significantly lower when repeated one-shot game is false compared to when repeated one-shot game has another value."
14047,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,https://data.cooperationdatabank.org/id/studyshowupfee/0,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty target,Threshold,Loss,Show-up fee,Absent,lower,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, cooperation is significantly lower when show-up fee is absent compared to when show-up fee has another value."
14049,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,https://data.cooperationdatabank.org/id/recruitmentmethod/3,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty target,Threshold,Loss,Recruitment method,Other,lower,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, cooperation is significantly lower when recruitment method is other compared to when recruitment method has another value."
22507,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,High,Known endgame,na,lower,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
22539,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,true,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,High,Repeated one-shot game,na,lower,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, cooperation is significantly higher when repeated one-shot game is true compared to when repeated one-shot game has another value."
47921,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,true,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/medium,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Medium,High,Known endgame,na,higher,"When comparing studies where uncertainty level is medium and studies where uncertainty level is high, cooperation is significantly higher when known endgame is true compared to when known endgame has another value."
52458,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,true,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/medium,https://data.cooperationdatabank.org/id/uncertaintylevel/high,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Medium,High,Repeated one-shot game,na,higher,"When comparing studies where uncertainty level is medium and studies where uncertainty level is high, cooperation is significantly lower when repeated one-shot game is true compared to when repeated one-shot game has another value."
74805,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/medium,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,Medium,Continuous vs step-level public goods,Continuous,lower,"When comparing studies where uncertainty level is low and studies where uncertainty level is medium, cooperation is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
74820,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/country,https://data.cooperationdatabank.org/id/country/AUS,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/medium,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,Medium,has country,AUS,higher,"When comparing studies where uncertainty level is low and studies where uncertainty level is medium, cooperation is significantly higher when has country is aus compared to when has country has another value."
74825,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/countrySource,https://data.cooperationdatabank.org/id/countrysource/1,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,https://data.cooperationdatabank.org/id/uncertaintylevel/low,https://data.cooperationdatabank.org/id/uncertaintylevel/medium,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,Uncertainty level,Low,Medium,Source of country or region,Specified country,higher,"When comparing studies where uncertainty level is low and studies where uncertainty level is medium, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
