,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
554,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/success,Success,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/failure,Failure,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,Cooperation is significantly lower when feedback content is success compared to when feedback content is failure.
1131,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/choice,Choice,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/others,Others,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.7777777777777778,0.2222222222222222,0.7777777777777778,Contribution is significantly lower when feedback content is choice compared to when feedback content is others.
1128,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/choice,Choice,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/rank,Rank,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,Contribution is significantly higher when feedback content is choice compared to when feedback content is rank.
122,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/other,Other,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,Cooperation is significantly lower when feedback target is individual compared to when feedback target is other.
2299,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/other,Other,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,Contribution is significantly lower when feedback target is individual compared to when feedback target is other.
1791,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/group,Group,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/absent,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,Contribution is significantly higher when feedback target is group compared to when feedback target is absent.
1954,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/other,Other,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,Cooperation is significantly lower when feedback target is individual compared to when feedback target is other.
1535,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/choice,Choice,https://data.cooperationdatabank.org/vocab/prop/feedbackContent,Feedback content,https://data.cooperationdatabank.org/id/feedbackcontent/earnings,Earnings,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.4,0.6,0.6,Contribution is significantly higher when feedback content is choice compared to when feedback content is earnings.
1081,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/absent,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,Contribution is significantly higher when feedback target is individual compared to when feedback target is absent.
2298,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/absent,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,Contribution is significantly higher when feedback target is individual compared to when feedback target is absent.
1401,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/absent,Absent,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.46153846153846156,0.5384615384615384,0.5384615384615384,Cooperation is significantly higher when feedback target is individual compared to when feedback target is absent.
1946,https://data.cooperationdatabank.org/vocab/prop/FeedbackVariable,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/individual,Individual,https://data.cooperationdatabank.org/vocab/prop/feedbackTarget,Feedback target,https://data.cooperationdatabank.org/id/feedbacktarget/absent,Absent,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.46153846153846156,0.5384615384615384,0.5384615384615384,Cooperation is significantly higher when feedback target is individual compared to when feedback target is absent.
