,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
2312,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/outgroup,Outgroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,0.0,negative,lower,2.0,0.9333333333333333,0.06666666666666667,0.9333333333333333,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
2250,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/outgroup,Outgroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.9333333333333333,0.06666666666666667,0.9333333333333333,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
2206,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/outgroup,Outgroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.9333333333333333,0.06666666666666667,0.9333333333333333,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is outgroup.
2205,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.9259259259259259,0.07407407407407407,0.9259259259259259,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
1212,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.9259259259259259,0.07407407407407407,0.9259259259259259,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
2246,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.9259259259259259,0.07407407407407407,0.9259259259259259,Cooperation is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
675,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.8846153846153846,0.11538461538461539,0.8846153846153846,Contribution is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
1718,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.8846153846153846,0.11538461538461539,0.8846153846153846,Contribution is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
545,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.8846153846153846,0.11538461538461539,0.8846153846153846,Contribution is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
2003,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.8846153846153846,0.11538461538461539,0.8846153846153846,Contribution is significantly lower when partner's group membership is stranger compared to when partner's group membership is ingroup.
