,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
1298,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_competitive,Predominantly Competitive,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,Predominantly Cooperative,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Cooperation is significantly lower when iterated strategy is predominantly competitive compared to when iterated strategy is predominantly cooperative.
2119,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/preprogrammed_cooperation_rate,Preprogrammed Cooperation Rate,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/other,Other,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Cooperation is significantly lower when iterated strategy is preprogrammed cooperation rate compared to when iterated strategy is other.
2064,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/extortionate_zero_determinant,Extortionate Zero Determinant,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/generous_zero_determinant,Generous Zero Determinant,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Cooperation is significantly lower when iterated strategy is extortionate zero determinant compared to when iterated strategy is generous zero determinant.
1571,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/tit-for-tat,Tit-for-Tat,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,Predominantly Cooperative,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.875,0.125,0.875,Cooperation is significantly lower when iterated strategy is tit-for-tat compared to when iterated strategy is predominantly cooperative.
1565,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/tit-for-tat,Tit-for-Tat,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/predominantly_cooperative,Predominantly Cooperative,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,0.0,negative,lower,2.0,0.875,0.125,0.875,Cooperation is significantly lower when iterated strategy is tit-for-tat compared to when iterated strategy is predominantly cooperative.
2290,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/medium,Medium,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.2,0.8,0.8,Cooperation is significantly higher when iterated pre-programmed cooperation rate level is high compared to when iterated pre-programmed cooperation rate level is medium.
1264,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.2,0.8,0.8,Cooperation is significantly higher when iterated pre-programmed cooperation rate level is high compared to when iterated pre-programmed cooperation rate level is low.
2288,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/iteratedPreprogrammedCooperationRateLevel,Iterated pre-programmed cooperation rate level,https://data.cooperationdatabank.org/id/iteratedpreprogrammedcooperationratelevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.2,0.8,0.8,Cooperation is significantly higher when iterated pre-programmed cooperation rate level is medium compared to when iterated pre-programmed cooperation rate level is low.
2261,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/preprogrammed_cooperation_rate,Preprogrammed Cooperation Rate,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/tit-for-tat,Tit-for-Tat,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.75,0.25,0.75,Cooperation is significantly lower when iterated strategy is preprogrammed cooperation rate compared to when iterated strategy is tit-for-tat.
1996,https://data.cooperationdatabank.org/vocab/prop/Partner(s)'_strategiesVariable,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/tit-for-tat,Tit-for-Tat,https://data.cooperationdatabank.org/vocab/prop/iteratedStrategy,Iterated strategy,https://data.cooperationdatabank.org/id/iteratedstrategy/tit-for-tat+1,Tit-for-Tat+1,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.6,0.4,0.6,Cooperation is significantly lower when iterated strategy is tit-for-tat compared to when iterated strategy is tit-for-tat+1.
