,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
274,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/medium,Medium,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Contribution is significantly lower when mpcr level is low compared to when mpcr level is medium.
289,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Contribution is significantly lower when mpcr level is medium compared to when mpcr level is high.
1244,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/medium,Medium,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,Cooperation is significantly lower when mpcr level is low compared to when mpcr level is medium.
2068,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.75,0.25,0.75,Contribution is significantly lower when endowment level is medium compared to when endowment level is high.
132,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.75,0.25,0.75,Contribution is significantly lower when endowment level is medium compared to when endowment level is high.
520,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.625,0.375,0.625,Contribution is significantly lower when endowment level is low compared to when endowment level is high.
129,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.4,0.6,0.6,Contribution is significantly higher when endowment level is medium compared to when endowment level is low.
479,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.4,0.6,0.6,Contribution is significantly higher when endowment level is medium compared to when endowment level is low.
744,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/endowmentLevel,Endowment level,https://data.cooperationdatabank.org/id/endowmentlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.4,0.6,0.6,Contribution is significantly higher when endowment level is medium compared to when endowment level is low.
883,https://data.cooperationdatabank.org/vocab/prop/Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/mPCRlevel,MPCR level,https://data.cooperationdatabank.org/id/mpcrlevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.5909090909090909,0.4090909090909091,0.5909090909090909,Contribution is significantly lower when mpcr level is low compared to when mpcr level is high.
