,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
1267,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,Cooperation is significantly higher when uncertainty level is low compared to when uncertainty level is high.
1181,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.10526315789473684,0.8947368421052632,0.8947368421052632,Cooperation is significantly higher when uncertainty level is low compared to when uncertainty level is high.
2132,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.10526315789473684,0.8947368421052632,0.8947368421052632,Cooperation is significantly higher when uncertainty level is low compared to when uncertainty level is high.
2130,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.10526315789473684,0.8947368421052632,0.8947368421052632,Cooperation is significantly higher when uncertainty level is low compared to when uncertainty level is high.
1664,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.3,0.7,0.7,Cooperation is significantly lower when uncertainty level is low compared to when uncertainty level is high.
353,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.3,0.7,0.7,Cooperation is significantly lower when uncertainty level is low compared to when uncertainty level is high.
2294,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.3,0.7,0.7,Cooperation is significantly lower when uncertainty level is low compared to when uncertainty level is high.
839,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_public_account,Return from public account,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_private_account,Return from private account,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.4642857142857143,0.5357142857142857,0.5357142857142857,Cooperation is significantly higher when uncertainty target is return from public account compared to when uncertainty target is return from private account.
832,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_public_account,Return from public account,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_private_account,Return from private account,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.4642857142857143,0.5357142857142857,0.5357142857142857,Cooperation is significantly higher when uncertainty target is return from public account compared to when uncertainty target is return from private account.
863,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_public_account,Return from public account,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_private_account,Return from private account,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.4642857142857143,0.5357142857142857,0.5357142857142857,Cooperation is significantly higher when uncertainty target is return from public account compared to when uncertainty target is return from private account.
871,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_public_account,Return from public account,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/return_from_private_account,Return from private account,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.4642857142857143,0.5357142857142857,0.5357142857142857,Cooperation is significantly higher when uncertainty target is return from public account compared to when uncertainty target is return from private account.
