,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
8845,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
21012,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/5,Published,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when source of year of data collection is published compared to when source of year of data collection has another value."
21047,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/7,Available online,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when source of year of data collection is available online compared to when source of year of data collection has another value."
21050,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ITA,ITA,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when has country is ita compared to when has country has another value."
21053,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is acquaintance and studies where relationship with the partner is stranger, cooperation is significantly higher when discussion is uni-directional compared to when discussion has another value."
25813,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/friend,friend,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is friend and studies where relationship with the partner is stranger, cooperation is significantly higher when published is published article compared to when published has another value."
25825,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/friend,friend,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is friend and studies where relationship with the partner is stranger, cooperation is significantly higher when matching is partner compared to when matching has another value."
29868,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/friend,friend,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is friend and studies where relationship with the partner is stranger, cooperation is significantly higher when matching is partner compared to when matching has another value."
29872,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/friend,friend,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is friend and studies where relationship with the partner is stranger, cooperation is significantly higher when source of year of data collection is submitted compared to when source of year of data collection has another value."
29880,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/friend,friend,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/1,Acquaintance,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where relationship with the partner is friend and studies where relationship with the partner is stranger, cooperation is significantly higher when acquaintance is acquaintance compared to when acquaintance has another value."
