,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
20463,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, contribution is significantly higher when published is published article compared to when published has another value."
20465,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, contribution is significantly higher when game type is public goods game compared to when game type has another value."
20469,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, contribution is significantly higher when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
20480,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/middle,middle,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where age cohort is middle and studies where age cohort is old, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
20484,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/middle,middle,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where age cohort is middle and studies where age cohort is old, contribution is significantly lower when matching is stranger compared to when matching has another value."
20488,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/middle,middle,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where age cohort is middle and studies where age cohort is old, contribution is significantly lower when source of year of data collection is submitted compared to when source of year of data collection has another value."
20537,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when show-up fee is absent compared to when show-up fee has another value."
20546,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
22176,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when has country is usa compared to when has country has another value."
22186,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when real partner is deception compared to when real partner has another value."
23433,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
23437,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when matching is stranger compared to when matching has another value."
23447,https://data.cooperationdatabank.org/vocab/prop/AgeVariable,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/old,old,https://data.cooperationdatabank.org/vocab/prop/ageCohort,Age cohort,https://data.cooperationdatabank.org/id/agecohort/young,young,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where age cohort is old and studies where age cohort is young, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
