,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
18070,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,low cooperation,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , cooperation is significantly lower when published is published article compared to when published has another value."
18075,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,low cooperation,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anchor is low cooperation and studies where anchor is high cooperation , cooperation is significantly lower when matching is partner compared to when matching has another value."
18093,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when trial of cooperation is all trials compared to when trial of cooperation has another value."
18096,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when recruitment method is other compared to when recruitment method has another value."
18113,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when published is published article compared to when published has another value."
18117,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/4,Non-monetary lottery,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when game incentive is non-monetary lottery compared to when game incentive has another value."
18158,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
18161,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where anchor is high cooperation  and studies where anchor is absent, cooperation is significantly higher when source of year of data collection is submitted compared to when source of year of data collection has another value."
18162,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,low cooperation,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anchor is low cooperation and studies where anchor is absent, cooperation is significantly lower when has country is deu compared to when has country has another value."
18173,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/low_cooperation,low cooperation,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anchor is low cooperation and studies where anchor is absent, cooperation is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
