,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
361,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when game type is public goods game compared to when game type has another value."
363,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when game incentive is monetary compared to when game incentive has another value."
372,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
10974,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
10980,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when experimental setting is lab compared to when experimental setting has another value."
10984,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, contribution is significantly lower when real partner is real compared to when real partner has another value."
15079,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where participant's behavior level is medium and studies where participant's behavior level is low, contribution is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
15081,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where participant's behavior level is medium and studies where participant's behavior level is low, contribution is significantly higher when recruitment method is participant pool compared to when recruitment method has another value."
15686,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,Psychology,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when academic discipline is psychology compared to when academic discipline has another value."
15688,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/ownBehaviorLevel,Participant's behavior level,https://data.cooperationdatabank.org/id/ownbehaviorlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where participant's behavior level is low and studies where participant's behavior level is high, cooperation is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
