,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
7846,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/irrelevant,Irrelevant,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication content is irrelevant and studies where communication content is promise, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
7854,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/irrelevant,Irrelevant,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication content is irrelevant and studies where communication content is promise, cooperation is significantly lower when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
11749,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/threat,Threat,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication content is threat and studies where communication content is promise, contribution is significantly lower when real partner is deception compared to when real partner has another value."
11736,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/threat,Threat,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,"When comparing studies where communication content is threat and studies where communication content is promise, contribution is significantly lower when real partner is deception compared to when real partner has another value."
27454,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/other,Other,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication content is other and studies where communication content is promise, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
20594,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication type is written and studies where communication type is verbal, contribution is significantly lower when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
16837,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication type is written and studies where communication type is verbal, cooperation is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
16841,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication type is written and studies where communication type is verbal, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
16836,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication type is written and studies where communication type is verbal, cooperation is significantly lower when has country is usa compared to when has country has another value."
15917,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/irrelevant,Irrelevant,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where communication content is irrelevant and studies where communication content is promise, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
