,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
34544,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, cooperation is significantly lower when has country is gbr compared to when has country has another value."
6044,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, contribution is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
5988,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, contribution is significantly lower when published is published article compared to when published has another value."
6056,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, contribution is significantly lower when game type is public goods game compared to when game type has another value."
22460,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/2,MTurk,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, cooperation is significantly lower when recruitment method is mturk compared to when recruitment method has another value."
6103,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, contribution is significantly lower when experimental setting is lab compared to when experimental setting has another value."
6077,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/6,Accepted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, contribution is significantly lower when source of year of data collection is accepted compared to when source of year of data collection has another value."
31063,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, withdrawal is significantly higher when real partner is real compared to when real partner has another value."
6667,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, cooperation is significantly lower when show-up fee is paid compared to when show-up fee has another value."
6624,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where conflict level is high and studies where conflict level is low, cooperation is significantly lower when has country is gbr compared to when has country has another value."
