,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
31100,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/other,Other,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is other, cooperation is significantly higher when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
31098,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/other,Other,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is other, cooperation is significantly higher when matching is stranger compared to when matching has another value."
31095,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/3,Class,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.782608695652174,0.21739130434782608,0.782608695652174,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when experimental setting is class compared to when experimental setting has another value."
25929,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/3,Doctoral Dissertation,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.782608695652174,0.21739130434782608,0.782608695652174,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when published is doctoral dissertation compared to when published has another value."
5303,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when discussion is uni-directional compared to when discussion has another value."
5318,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/2,Multiple countries,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when source of country or region is multiple countries compared to when source of country or region has another value."
5319,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when discussion is absent compared to when discussion has another value."
5345,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
15119,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when real partner is real compared to when real partner has another value."
15110,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
5347,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
5346,https://data.cooperationdatabank.org/vocab/prop/EthnicityVariable,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/white,White,https://data.cooperationdatabank.org/vocab/prop/ethnicityUS,Ethnicity (US),https://data.cooperationdatabank.org/id/ethnicityus/black_or_african_american,Black or African American,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,0.506145251396648,0.49385474860335193,0.506145251396648,"When comparing studies where ethnicity (us) is white and studies where ethnicity (us) is black or african american, cooperation is significantly lower when real partner is real compared to when real partner has another value."
