,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
1299,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when matching is stranger compared to when matching has another value."
1301,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when real partner is real compared to when real partner has another value."
2062,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CAN,CAN,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when has country is can compared to when has country has another value."
2063,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
2076,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
11046,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
21956,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
11050,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
22771,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
22523,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where expectations level is low and studies where expectations level is high, cooperation is significantly lower when show-up fee is absent compared to when show-up fee has another value."
