,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
6212,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is continuous public goods game and studies where game type is resource dilemma, contribution is significantly lower when recruitment method is other compared to when recruitment method has another value."
6208,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is continuous public goods game and studies where game type is resource dilemma, contribution is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
6228,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, contribution is significantly lower when show-up fee is absent compared to when show-up fee has another value."
6223,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, contribution is significantly lower when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
9648,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/3,Resource Dilemma,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when game type is resource dilemma compared to when game type has another value."
9653,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
9605,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
9609,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
9659,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when published is published article compared to when published has another value."
9669,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/resource_dilemma,Resource Dilemma,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/BEL,BEL,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where game type is other game and studies where game type is resource dilemma, withdrawal is significantly lower when has country is bel compared to when has country has another value."
